1,570,432.0,32.0
2,686,656.0,64.0
3,1085,1260.0,128.0
4,776,860.0,128.0
5,682,1096.0,64.0
6,955,1480.0,128.0
7,320,544.0,64.0
8,286,588.0,64.0
9,285,792.0,64.0
10,405,1716.0,128.0
11,853,2532.0,256.0
12,705,2064.0,256.0
13,108,400.0,32.0
14,117,408.0,32.0
15,292,2500.0,256.0
16,707,2504.0,256.0
17,366,868.0,64.0
18,675,2380.0,256.0
19,387,1312.0,128.0
20,207,1600.0,128.0
21,353,2284.0,256.0
22,242,1724.0,128.0
23,288,900.0,64.0
24,271,996.0,64.0
25,384,1428.0,128.0
26,430,3200.0,256.0
27,549,2220.0,256.0
28,266,1636.0,128.0
29,494,2708.0,256.0
30,173,1404.0,128.0
31,181,1256.0,128.0
32,101,848.0,64.0
33,306,1692.0,128.0
34,199,1508.0,128.0
35,131,1296.0,128.0
36,381,2992.0,256.0
37,156,1552.0,128.0
38,323,2456.0,256.0
39,117,1200.0,128.0
40,420,1708.0,128.0
41,412,4508.0,512.0
42,153,648.0,64.0
43,473,2008.0,128.0
44,269,2120.0,128.0
45,195,2072.0,256.0
46,162,1392.0,128.0
47,100,632.0,64.0
48,198,1128.0,128.0
49,343,2972.0,256.0
50,364,2788.0,256.0
51,277,2312.0,256.0
52,220,2676.0,256.0
53,215,2252.0,256.0
54,323,2628.0,256.0
55,380,2892.0,256.0
56,187,2092.0,128.0
57,566,3836.0,256.0
58,398,2816.0,256.0
59,238,2984.0,256.0
60,262,2860.0,256.0
61,192,2152.0,256.0
62,143,1388.0,128.0
63,340,2244.0,256.0
64,210,1360.0,128.0
65,286,2976.0,256.0
66,235,1264.0,128.0
67,484,3172.0,256.0
68,340,3052.0,256.0
69,242,2972.0,256.0
70,235,1468.0,128.0
71,204,1292.0,128.0
72,349,2216.0,128.0
73,114,992.0,128.0
74,407,3124.0,256.0
75,245,2408.0,256.0
76,154,896.0,64.0
77,327,1516.0,128.0
78,177,1584.0,128.0
79,433,3252.0,256.0
80,367,3080.0,256.0
81,351,2460.0,256.0
82,223,2248.0,256.0
83,271,2676.0,256.0
84,269,3240.0,256.0
85,309,2960.0,256.0
86,353,2988.0,256.0
87,200,2096.0,256.0
88,265,3340.0,256.0
89,268,2928.0,256.0
90,296,2768.0,256.0
91,299,2888.0,256.0
92,245,2348.0,256.0
93,178,1216.0,128.0
94,536,5084.0,512.0
95,298,2848.0,256.0
96,168,1216.0,128.0
97,275,2464.0,256.0
98,432,4612.0,512.0
99,419,5240.0,512.0
100,216,1332.0,128.0
101,301,2748.0,256.0
102,559,4688.0,256.0
103,220,2452.0,256.0
104,425,3664.0,256.0
105,365,2992.0,256.0
106,243,2372.0,256.0
107,181,1428.0,128.0
108,411,3008.0,256.0
109,259,1408.0,128.0
110,250,2708.0,256.0
111,160,1712.0,128.0
112,324,3084.0,256.0
113,201,2560.0,256.0
114,381,3044.0,256.0
115,243,2784.0,256.0
116,459,5236.0,512.0
117,214,2400.0,256.0
118,272,1572.0,128.0
119,208,2484.0,256.0
120,245,1252.0,128.0
121,310,2356.0,256.0
122,322,3008.0,256.0
123,327,2800.0,256.0
124,284,3404.0,256.0
125,613,5616.0,512.0
126,133,1352.0,128.0
127,278,3372.0,256.0
128,326,3032.0,256.0
129,318,3016.0,256.0
130,221,2368.0,256.0
131,382,3344.0,256.0
132,97,368.0,32.0
133,212,1420.0,128.0
134,330,2828.0,256.0
135,381,5320.0,512.0
136,146,1232.0,128.0
137,215,2232.0,256.0
138,192,2380.0,256.0
139,343,2692.0,256.0
140,310,2900.0,256.0
141,289,1440.0,128.0
142,320,3116.0,256.0
143,155,1548.0,128.0
